id,filename,city,lat,lon
0,0.jpg,Albuquerque,35.075424,-106.674995
1,1.jpg,Albuquerque,35.075721,-106.663576
2,2.jpg,Albuquerque,35.0758,-106.63676
3,3.jpg,Albuquerque,35.075887,-106.644925
4,4.jpg,Albuquerque,35.07684,-106.631114
5,5.jpg,Albuquerque,35.077267,-106.646333
6,6.jpg,Albuquerque,35.077373,-106.641024
7,7.jpg,Albuquerque,35.077424,-106.635868
8,8.jpg,Albuquerque,35.077666,-106.630115
9,9.jpg,Albuquerque,35.07787,-106.641743
10,10.jpg,Albuquerque,35.077878,-106.626643
11,11.jpg,Albuquerque,35.078379,-106.636957
12,12.jpg,Albuquerque,35.078507,-106.659801
13,13.jpg,Albuquerque,35.078713,-106.635157
14,14.jpg,Albuquerque,35.078948,-106.673543
15,15.jpg,Albuquerque,35.079273,-106.663215
16,16.jpg,Albuquerque,35.080404,-106.653371
17,17.jpg,Albuquerque,35.080508,-106.638843
18,18.jpg,Albuquerque,35.080764,-106.638012
19,19.jpg,Albuquerque,35.080821,-106.665525
20,20.jpg,Albuquerque,35.081129,-106.65291
21,21.jpg,Albuquerque,35.08139,-106.655549
22,22.jpg,Albuquerque,35.081465,-106.627578
23,23.jpg,Albuquerque,35.081736,-106.655286
24,24.jpg,Albuquerque,35.083119,-106.642879
25,25.jpg,Albuquerque,35.083276,-106.627471
26,26.jpg,Albuquerque,35.083415,-106.628647
27,27.jpg,Albuquerque,35.084136,-106.661059
28,28.jpg,Albuquerque,35.084454,-106.665434
29,29.jpg,Albuquerque,35.084608,-106.665028
30,30.jpg,Albuquerque,35.084617,-106.650628
31,31.jpg,Albuquerque,35.085101,-106.657503
32,32.jpg,Albuquerque,35.085449,-106.664117
33,33.jpg,Albuquerque,35.085701,-106.660515
34,34.jpg,Albuquerque,35.085876,-106.673221
35,35.jpg,Albuquerque,35.086548,-106.632989
36,36.jpg,Albuquerque,35.086887,-106.672603
37,37.jpg,Albuquerque,35.08706,-106.674586
38,38.jpg,Albuquerque,35.087237,-106.658384
39,39.jpg,Albuquerque,35.087329,-106.653177
40,40.jpg,Albuquerque,35.088163,-106.670529
41,41.jpg,Albuquerque,35.088311,-106.660774
42,42.jpg,Albuquerque,35.089341,-106.643868
43,43.jpg,Albuquerque,35.089368,-106.62693
44,44.jpg,Albuquerque,35.08985,-106.66575
45,45.jpg,Albuquerque,35.090051,-106.667
46,46.jpg,Albuquerque,35.090121,-106.653651
47,47.jpg,Albuquerque,35.090913,-106.652262
48,48.jpg,Albuquerque,35.090952,-106.635155
49,49.jpg,Albuquerque,35.091012,-106.661245
50,50.jpg,Albuquerque,35.091254,-106.668837
